ID,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
,1,2017-09-14 13:59:55,2017-09-14 13:59:59,1,0,6,N,158,158,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-09-20 20:11:13,2017-09-20 20:47:03,1,12.6,6,N,138,234,1,2.5,0,0.5,35,5.76,0.3,44.06
,2,2017-12-09 00:20:33,2017-12-09 00:34:49,1,1.73,6,N,90,79,2,5.5,0,0.5,0,0,0.3,6.3
,2,2017-12-28 12:32:50,2017-12-28 12:32:54,3,0,6,N,264,264,2,3.5,0.3,0.5,0,0,0,4.3
,1,2017-12-04 11:31:32,2017-12-04 11:31:45,1,0,6,N,265,265,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-07-16 13:27:00,2017-07-16 13:31:05,1,1.4,6,N,262,140,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-07-08 05:36:17,2017-07-08 05:36:22,1,0,6,N,186,186,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-07-03 16:42:27,2017-07-03 16:42:31,1,0,6,N,132,132,2,2.5,0,0.5,0,0,0.3,3.3
,2,2017-09-13 16:44:40,2017-09-13 16:45:59,4,0,6,N,193,193,2,5.5,0.3,0.5,0,0,0,6.3
,1,2017-09-23 02:03:40,2017-09-23 02:03:57,1,0,6,N,144,144,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-09-24 10:17:10,2017-09-24 10:24:42,1,0,6,N,186,186,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-05-21 15:59:55,2017-05-21 15:59:59,1,0,6,N,138,138,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-05-31 10:24:03,2017-05-31 10:29:05,1,0.8,6,N,170,137,1,2.5,0,0.5,0.95,0,0.3,4.25
,1,2017-06-01 01:44:21,2017-06-01 01:59:52,1,7.6,6,N,48,243,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-06-26 14:06:08,2017-06-26 14:06:41,2,0,6,N,1,1,1,101.11,0,0.5,0.09,0,0.3,102
,2,2017-09-05 17:27:27,2017-09-05 17:27:58,1,0,6,N,162,162,2,5.5,0,0.5,0,0,0.3,6.3
,1,2017-09-08 05:35:18,2017-09-08 05:35:18,1,0,6,N,237,264,2,3.5,0,0.5,0,0,0.3,4.3
,1,2017-09-22 12:36:04,2017-09-22 12:40:37,2,0.9,6,N,246,246,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-09-30 21:02:10,2017-09-30 21:02:35,1,0.1,6,N,239,239,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-09-28 13:37:58,2017-09-28 13:38:12,1,0,6,N,87,87,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-09-14 18:41:33,2017-09-14 18:41:35,1,0,6,N,132,132,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-09-08 16:20:44,2017-09-08 16:20:44,1,0,6,N,113,264,2,2.5,0,0.5,0,0,0.3,3.3
,2,2017-06-07 09:39:24,2017-06-07 09:39:32,1,0,6,N,193,193,2,20,0.3,0.5,0,0,0,20.8
,1,2017-09-08 06:32:29,2017-09-08 06:32:36,1,0,6,N,231,231,2,5.5,0,0.5,0,0,0.3,6.3
,1,2017-09-11 22:43:18,2017-09-11 22:43:32,1,0.1,6,N,132,132,2,4.5,0,0.5,0,0,0.3,5.3
,1,2017-09-07 19:56:23,2017-09-07 19:56:41,1,10.6,6,N,132,132,2,4.5,0,0.5,0,0,0.3,5.3
